2022-04-12T07-06-55,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,02780,CVS Store #05402,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,02780,CVS Store #01041,NLP,NLP,NLP,18,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,02780,CVS Store #16547,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,02780,Walgreens Store #12399,NLP,NLP,NLP,48,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,02780,CVS Store #01041,NLP,NLP,NLP,17,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,02780,CVS Store #00041,NLP,NLP,NLP,27,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,02780,CVS Store #05402,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02780,CVS Store #01041,NLP,NLP,NLP,17,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02780,Walgreens Store #12399,NLP,NLP,NLP,48,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02780,CVS Store #16547,NLP,NLP,NLP,40,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02780,CVS Store #00041,NLP,NLP,NLP,27,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02780,CVS Store #05402,NLP,NLP,NLP,19,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,02780,CVS Store #16547,NLP,NLP,NLP,40,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,02780,Walgreens Store #12399,NLP,NLP,NLP,48,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,02780,CVS Store #00041,NLP,NLP,NLP,26,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,02780,Walgreens Store #17617,NLP,NLP,NLP,80,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,02780,CVS Store #05402,NLP,NLP,NLP,19,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,02780,CVS Store #01041,NLP,NLP,NLP,17,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,02780,Walgreens Store #15591,NLP,NLP,NLP,30,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,02780,CVS Store #16547,NLP,NLP,NLP,40,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,02780,CVS Store #00041,NLP,NLP,NLP,26,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,02780,Walgreens Store #12399,NLP,NLP,NLP,48,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,02780,Pharmerica Taunton,NLP,NLP,NLP,36,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,02780,Walgreens Store #17617,NLP,NLP,NLP,78,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,02780,CVS Store #01041,NLP,NLP,NLP,17,04/14/2022 12:00:00 AM
