2022-05-10T06-06-54,34655,Walmart Pharmacy #994,NLP,NLP,NLP,18,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,34655,CVS Store #03703,NLP,NLP,NLP,32,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,34655,CVS Store #17083,NLP,NLP,NLP,19,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,78,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,34655,CVS Store #04226,NLP,NLP,NLP,17,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,34655,CVS Store #03703,NLP,NLP,NLP,30,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,34655,Walgreens Store #05415,NLP,NLP,NLP,17,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,34655,Walmart Pharmacy #994,NLP,NLP,NLP,18,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,78,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,34655,CVS Store #17083,NLP,NLP,NLP,19,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,34655,CVS Store #04226,NLP,NLP,NLP,17,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,34655,Walgreens Store #05415,NLP,NLP,NLP,16,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,34655,CVS Store #03703,NLP,NLP,NLP,30,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,34655,Walmart Pharmacy #994,NLP,NLP,NLP,18,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,34655,Walgreens Store #06752,NLP,NLP,NLP,19,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,78,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,34655,CVS Store #17083,NLP,NLP,NLP,19,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,34655,CVS Store #04226,NLP,NLP,NLP,16,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,34655,Walgreens Store #05415,NLP,NLP,NLP,16,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,34655,CVS Store #03703,NLP,NLP,NLP,28,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,34655,Walgreens Store #06752,NLP,NLP,NLP,17,05/12/2022 12:00:00 AM
2022-05-13T06-07-31,34655,Walmart Pharmacy #994,NLP,NLP,NLP,17,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,34655,CVS Store #17083,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,77,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,34655,CVS Store #04226,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,34655,CVS Store #03703,NLP,NLP,NLP,26,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,34655,Walgreens Store #05415,NLP,NLP,NLP,13,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,34655,Walgreens Store #06752,NLP,NLP,NLP,16,05/13/2022 12:00:00 AM
2022-05-14T08-49-14,34655,Walmart Pharmacy #994,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,34655,CVS Store #17083,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,77,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,34655,CVS Store #04226,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,34655,Walmart Pharmacy #994,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,34655,Walgreens Store #05415,NLP,NLP,NLP,13,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,34655,Walgreens Store #06752,NLP,NLP,NLP,16,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,34655,CVS Store #03703,NLP,NLP,NLP,26,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,34655,LITTLE ROAD PHARMACY,NLP,NLP,NLP,77,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,34655,CVS Store #17083,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,34655,CVS Store #04226,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,34655,Walgreens Store #06752,NLP,NLP,NLP,16,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,34655,CVS Store #03703,NLP,NLP,NLP,26,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,34655,Walgreens Store #05415,NLP,NLP,NLP,13,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,34655,Walmart Pharmacy #994,NLP,NLP,NLP,17,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,34655,Little Road Pharmacy,NLP,NLP,NLP,77,05/16/2022 12:00:00 AM
2022-05-17T05-27-38,34655,CVS Store #17083,NLP,NLP,NLP,18,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,34655,CVS Store #04226,NLP,NLP,NLP,14,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,34655,Walgreens Store #05415,NLP,NLP,NLP,12,05/16/2022 12:00:00 AM
