2022-05-28T05-34-18,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,23,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,23,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,23,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,23,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/02/2022 12:00:00 AM
2022-06-06T06-32-51,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/02/2022 12:00:00 AM
2022-06-07T05-36-41,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,20,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,18,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/09/2022 12:00:00 AM
2022-06-13T04-15-40,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,21,06/09/2022 12:00:00 AM
2022-06-14T04-15-16,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,19,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,18,06/14/2022 12:00:00 AM
2022-06-16T04-15-45,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,17,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,17,06/15/2022 12:00:00 AM
2022-06-18T04-15-18,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,16,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,16,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,11944,STONY BROOK EASTERN LONG ISLAND HOS,NLP,NLP,NLP,16,06/17/2022 12:00:00 AM
