facility_id,provider_name,grantee_code,provider_pin,state_provider_pin,npi,address1,address2,city,state,zip,molnupiravir_courses_shipped,paxlovid_courses_shipped,total_courses_shipped,geopoint
245734408777202080451093023061738933095,CVS Store #07132,CV1,007132,,1184728974,3015 E. LINCOLN HIGHWAY,CVS Pharmacy,THORNDALE,PA,19372,24,20,44,POINT (-75.76408 39.99359)
245734408762861802378824291791374273383,CVS Store #09700,CV1,009700,,1215971650,576 E EL CAMINO REAL,CVS Pharmacy,SUNNYVALE,CA,94087,0,20,20,POINT (-122.02702 37.362)
245734408763122930355861051693110807399,CVS Store #07576,CV1,007576,,1649588658,31-01 DITMARS BLVD.,CVS Pharmacy,ASTORIA,NY,11105,24,20,44,POINT (-73.91041 40.77609)
242510027577675987848227610370333372296,Walgreens Store #04124,WG1,004124,,1255347613,33670 US HIGHWAY 19 N,,PALM HARBOR,FL,34684,24,20,44,POINT (-82.739776 28.07825)
245734408761841468987069544767922260839,CVS Store #08999,CV1,008999,,1316258957,2105 CLEARY AVE.,CVS Pharmacy,METAIRIE,LA,70001,40,20,60,POINT (-90.17095 29.99376)
245734408777637293746154289564633156455,CVS Store #06106,CV1,006106,,1033271333,100 PIEDMONT RD.,CVS Pharmacy,MARIETTA,GA,30066,0,20,20,POINT (-84.547885 34.013355)
245734408770289442614536573440769018727,CVS Store #00957,CV1,000957,,1386936672,928 RIVERDALE ST.,CVS Pharmacy,WEST SPRINGFIELD,MA,01089,0,20,20,POINT (-72.62733 42.129195)
245734408768923356438372042473351039847,CVS Store #01656,CV1,001656,,1427181890,221 E. HUNDRED RD.,CVS Pharmacy,CHESTER,VA,23836,24,20,44,POINT (-77.357295 37.348)
245734408761229752522344542405520935783,CVS Store #09497,CV1,009497,,1821034984,14330 CULVER DRIVE,CVS Pharmacy,IRVINE,CA,92604,24,20,44,POINT (-117.784367 33.705585)
245734408779431339662462399259897121639,CVS Store #17016,CV1,017016,,1871515585,530 RANDALL RD,CVS Pharmacy,SOUTH ELGIN,IL,60177,0,20,20,POINT (-88.34391 41.97592)
245734408770603763327636377026192624487,CVS Store #01958,CV1,001958,,1811091572,55 COLD SPRING ROAD,CVS Pharmacy,SYOSSET,NY,11791,24,20,44,POINT (-73.500645 40.82672)
245734408780843365019772286135953935207,CVS Store #17661,CV1,017661,,1811321391,7800 SW 104TH ST,CVS Pharmacy,MIAMI,FL,33156,24,20,44,POINT (-80.32261 25.67249)
245734408768391429077741605636480322407,CVS Store #00427,CV1,000427,,1750489308,13440 NC 210 HIGHWAY,CVS Pharmacy,BENSON,NC,27504,24,20,44,POINT (-78.57902 35.51706)
245734408769571340677685483710993550183,CVS Store #01383,CV1,001383,,1750485413,7205 LITTLE RIVER TURNPIKE,CVS Pharmacy,ANNANDALE,VA,22003,24,20,44,POINT (-77.1938 38.829545)
245734408772617833743114349231253113703,CVS Store #03665,CV1,003665,,1407163140,1299 EAST OGDEN AVE.,CVS Pharmacy,NAPERVILLE,IL,60563,0,20,20,POINT (-88.12279 41.79619)
245734408773270653685706248985594448743,CVS Store #02989,CV1,002989,,1578663910,4755 WEST ANN RD.,CVS Pharmacy,NORTH LAS VEGAS,NV,89031,64,20,84,POINT (-115.20659 36.26098)
245734408775741698060998551018693872487,CVS Store #05814,CV1,005814,,1104920099,9950 E. GUADALUPE RD.,CVS Pharmacy,MESA,AZ,85212,48,40,88,POINT (-111.61953 33.36505)
242515351453866698757911440387637686196,CVS Store #02179,CV1,002179,,1568623981,4058 FRANKLIN RD.,CVS Pharmacy,MURFREESBORO,TN,37128,0,20,20,POINT (-86.469615 35.84477)
245734408762912577263248106216711932775,CVS Store #07556,CV1,007556,,1245333921,2401 SUNSET BOULEVARD,CVS Pharmacy,WEST COLUMBIA,SC,29169,0,20,20,POINT (-81.106135 34.002215)
242510027578398925488357158616807665544,Walgreens Store #03940,WG1,003940,,1881609055,375 E DUNDEE RD,,PALATINE,IL,60074,0,20,20,POINT (-88.0345 42.13872)
245734408778993708515761903498653485927,CVS Store #05796,CV1,005796,,1780828996,2315 W. MERCURY BLVD,CVS Pharmacy,HAMPTON,VA,23666,24,20,44,POINT (-76.408025 37.036875)
245734408773026450670144093892303801191,CVS Store #02949,CV1,002949,,1104977065,451 RIDGEDALE AVE.,CVS Pharmacy,EAST HANOVER,NJ,07936,0,20,20,POINT (-74.358195 40.82676)
245734408767888515936781919899802553191,CVS Store #00329,CV1,000329,,1427152347,111 AUBURN ST.,CVS Pharmacy,PORTLAND,ME,04103,0,20,20,POINT (-70.28876 43.704)
245734408770860055601394678411230333799,CVS Store #00187,CV1,000187,,1215013248,14125 STEELE CREEK RD.,CVS Pharmacy,CHARLOTTE,NC,28273,24,20,44,POINT (-80.98756 35.10238)
242510027579651372637477914441803263880,Walgreens Store #03401,WG1,003401,,1730194739,518 DONELSON PIKE,,NASHVILLE,TN,37214,24,20,44,POINT (-86.667085 36.148485)
245734408776505739178994996657108175719,CVS Store #07012,CV1,007012,,1346309408,1330 DUTCH FORK RD.,CVS Pharmacy,IRMO,SC,29063,0,20,20,POINT (-81.236115 34.124905)
244921705310021940580324702104171714308,Walmart Pharmacy #4108,WM1,004108,ARA00729T,1154734085,4870 Elm Springs Rd,,Springdale,AR,72762,148,120,268,POINT (-94.18398 36.1956)
245734408778292531540385418577323903847,CVS Store #05682,CV1,005682,,1457454217,2 N. ZACK HINTON PARKWAY,CVS Pharmacy,MCDONOUGH,GA,30253,0,20,20,POINT (-84.13871 33.44596)
245734408772305930881653774904178920295,CVS Store #02786,CV1,002786,,1639273584,255 N. MCLEAN BLVD.,CVS Pharmacy,SOUTH ELGIN,IL,60177,0,20,20,POINT (-88.31603 41.99631)
242510027580454099381702028213808164744,Walgreens Store #01077,WG1,001077,FLA707861,1396750584,3550 FRUITVILLE RD,,SARASOTA,FL,34237,24,0,24,POINT (-82.49774 27.33738)
245734408774254719302872557133805276007,CVS Store #03344,CV1,003344,,1710005830,4050 DEAN LAKE BLVD.,CVS Pharmacy,SHAKOPEE,MN,55379,0,20,20,POINT (-93.46766 44.77893)
245734408780137352341117342697925528423,CVS Store #17503,CV1,017503,,1629226626,875 E MAIN ST,CVS Pharmacy,WACONIA,MN,55387,0,20,20,POINT (-93.771165 44.84083)
245734408777030412984707745718930656103,CVS Store #06553,CV1,006553,,1679676167,2320 CUNNINGHAM RD.,CVS Pharmacy,INDIANAPOLIS,IN,46224,120,40,160,POINT (-86.2661 39.798315)
242510027570006562448592402885997391752,Walgreens Store #07340,WG1,007340,,1023023231,120 MARIETTA HWY,,CANTON,GA,30114,24,20,44,POINT (-84.49451 34.24379)
245734408770067000263727481672623082343,CVS Store #01459,CV1,001459,,1194822684,12359 GEORGIA AVENUE,CVS Pharmacy,SILVER SPRING,MD,20906,0,20,20,POINT (-77.04987 39.06044)
