Facility ID,Provider Name,Grantee Code,Provider Pin,State Provider Pin,NPI,Address1,Address2,City,State,Zip,Last Report Date,Public Website,Phone Number,Provider Status,Provider Note,Geopoint
250886217426998176522154986178358170701,Daughters of Charity - Carrollton,HR2,001058,,1225345317,3201 S Carrollton Ave,,New Orleans,LA,70118,03/25/2022 12:00:00 AM,,504-207-3060,ACTIVE,,POINT (-90.11398 29.96162)
245734408771786092779219484359055264615,CVS Store #04556,CV1,004556,,1538262993,109 WEST HILL STREET,CVS Pharmacy,THOMSON,GA,30824,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-82.500865 33.462105)
242510027572332535725530949418132074376,Walgreens Store #09291,WG1,009291,TXA302277,1104831262,12702 BAMMEL NORTH HOUSTON RD,,HOUSTON,TX,77066,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-95.49793 29.961985)
282308353129709573516432292260484933307,CHC of Pinellas - Highpoint,HR2,HB3375,,1457616252,14100 58th St. N,,Clearwater,FL,33760,03/25/2022 12:00:00 AM,,,ACTIVE,,POINT (-82.713445 27.899655)
245734408776341325267527407089348135783,CVS Store #06438,CV1,006438,,1013010719,903 MEMORIAL BLVD.,CVS Pharmacy,SPRINGFIELD,TN,37172,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-86.881965 36.50462)
242510027580311446134987501971192835976,Walgreens Store #02335,WG1,002335,,1518972777,63 W 87TH ST,,NAPERVILLE,IL,60565,03/25/2022 12:00:00 AM,https://www.walgreens.com/findcare/services,,ACTIVE,,POINT (-88.13077 41.72983)
245734408769863900726032223971272444775,CVS Store #01852,CV1,001852,,1831298207,67D MAIN ST.,CVS Pharmacy,MEDWAY,MA,02053,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-71.40714 42.15189)
245630964423184295318440357011678480702,CVS Store #00207,CV1,000207,,1942309398,1620 PRESIDENT AVENUE,CVS Pharmacy,FALL RIVER,MA,02720,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-71.12545 41.71175)
245734408769162723750655739049942862695,CVS Store #01720,CV1,001720,,1669664793,"21201 EAST OCOTILLO RD.,",CVS Pharmacy,QUEEN CREEK,AZ,85142,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-111.625673 33.247937)
242515351453525781676780114960370544564,CVS Store #01756,CV1,001756,,1972607703,8467 E. MAIN ST.,CVS Pharmacy,REYNOLDSBURG,OH,43068,03/25/2022 12:00:00 AM,https://www.cvs.com/coronavirus,,ACTIVE,,POINT (-82.77176 39.95488)
